證券代號,發行股數
1101,0.0
1102,0.0
1103,0.0
1104,0.0
1108,0.0
1109,0.0
1110,0.0
1201,0.0
1203,0.0
1210,0.0
1213,0.0
1215,0.0
1216,0.0
1217,0.0
1218,0.0
1219,0.0
1220,0.0
1225,0.0
1227,0.0
1229,0.0
1231,0.0
1232,0.0
1233,0.0
1234,0.0
1235,0.0
1236,0.0
1256,0.0
1301,0.0
1303,0.0
1304,0.0
1305,0.0
1307,0.0
1308,0.0
1309,0.0
1310,0.0
1312,0.0
1313,0.0
1314,0.0
1315,0.0
1316,0.0
1319,0.0
1321,0.0
1323,0.0
1324,0.0
1325,0.0
1326,0.0
1337,0.0
1338,0.0
1339,0.0
1340,0.0
1341,0.0
1342,0.0
1402,0.0
1409,0.0
1410,0.0
1413,30000000.0
1414,0.0
1416,0.0
1417,0.0
1418,10000000.0
1419,0.0
1423,0.0
1432,18000000.0
1434,0.0
1435,0.0
1436,0.0
1437,0.0
1438,20000000.0
1439,0.0
1440,0.0
1441,28024542.0
1442,0.0
1443,0.0
1444,0.0
1445,0.0
1446,0.0
1447,0.0
1449,0.0
1451,0.0
1452,0.0
1453,0.0
1454,0.0
1455,0.0
1456,0.0
1457,0.0
1459,0.0
1460,0.0
1463,0.0
1464,0.0
1465,0.0
1466,0.0
1467,65414906.0
1468,0.0
1470,0.0
1471,5000000.0
1472,17500000.0
1473,0.0
1474,0.0
1475,0.0
1476,0.0
1477,0.0
1503,0.0
1504,0.0
1506,166000000.0
1512,32669876.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1519,0.0
1521,0.0
1522,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1535,0.0
1536,0.0
1537,0.0
1538,24033643.0
1539,0.0
1540,0.0
1541,0.0
1558,0.0
1560,0.0
1563,0.0
1568,0.0
1582,0.0
1583,0.0
1587,0.0
1589,0.0
1590,0.0
1597,0.0
1598,0.0
1603,0.0
1604,0.0
1605,0.0
1608,0.0
1609,0.0
1611,0.0
1612,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1623,0.0
1626,0.0
1702,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1717,0.0
1718,0.0
1720,0.0
1721,19168520.0
1722,0.0
1723,0.0
1725,0.0
1726,0.0
1727,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1752,0.0
1760,0.0
1762,0.0
1773,0.0
1776,0.0
1783,8702040.0
1786,0.0
1789,0.0
1795,0.0
1802,0.0
1805,0.0
1806,0.0
1808,0.0
1809,0.0
1810,0.0
1817,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1909,0.0
2002,0.0
2006,0.0
2007,361185683.0
2008,0.0
2009,0.0
2010,0.0
2012,0.0
2013,0.0
2014,0.0
2015,0.0
2017,0.0
2020,0.0
2022,0.0
2023,0.0
2024,0.0
2025,0.0
2027,0.0
2028,0.0
2029,0.0
2030,0.0
2031,0.0
2032,0.0
2033,0.0
2034,0.0
2038,0.0
2049,0.0
2059,0.0
2062,0.0
2069,0.0
2072,0.0
2101,0.0
2102,0.0
2103,0.0
2104,0.0
2105,0.0
2106,0.0
2107,0.0
2108,0.0
2109,0.0
2114,0.0
2115,0.0
2201,0.0
2204,0.0
2206,0.0
2207,0.0
2208,176024881.0
2211,0.0
2227,0.0
2228,0.0
2231,0.0
2233,0.0
2236,0.0
2239,0.0
2241,0.0
2243,0.0
2247,0.0
2248,0.0
2250,0.0
2254,0.0
2258,0.0
2301,0.0
2302,0.0
2303,0.0
2305,0.0
2308,0.0
2312,0.0
2313,0.0
2314,0.0
2316,0.0
2317,0.0
2321,16000001.0
2323,0.0
2324,0.0
2327,0.0
2328,0.0
2329,99000000.0
2330,0.0
2331,0.0
2332,0.0
2337,55651.0
2338,63370000.0
2340,60000000.0
2342,0.0
2344,0.0
2345,0.0
2347,0.0
2348,0.0
2349,0.0
2351,0.0
2352,0.0
2353,0.0
2354,0.0
2355,0.0
2356,0.0
2357,0.0
2359,0.0
2360,0.0
2362,0.0
2363,0.0
2364,0.0
2365,0.0
2367,0.0
2368,0.0
2369,0.0
2371,0.0
2373,0.0
2374,0.0
2375,0.0
2376,0.0
2377,0.0
2379,0.0
2380,9539303.0
2382,0.0
2383,0.0
2385,0.0
2387,0.0
2388,0.0
2390,0.0
2392,0.0
2393,0.0
2395,0.0
2397,0.0
2399,0.0
2401,0.0
2402,0.0
2404,0.0
2405,0.0
2406,0.0
2408,351578000.0
2409,0.0
2412,0.0
2413,0.0
2414,0.0
2415,0.0
2417,0.0
2419,0.0
2420,0.0
2421,0.0
2423,0.0
2424,41585000.0
2425,0.0
2426,0.0
2427,0.0
2428,0.0
2429,33197208.0
2430,0.0
2431,0.0
2432,0.0
2433,0.0
2434,27489119.0
2436,0.0
2438,40971322.0
2439,0.0
2440,35452938.0
2441,0.0
2442,8778889.0
2444,16142913.0
2449,0.0
2450,0.0
2451,0.0
2453,0.0
2454,0.0
2455,0.0
2457,0.0
2458,0.0
2459,0.0
2460,0.0
2461,0.0
2462,28840000.0
2464,0.0
2465,25000000.0
2466,9647731.0
2467,0.0
2468,0.0
2471,0.0
2472,0.0
2474,0.0
2476,0.0
2477,0.0
2478,0.0
2480,0.0
2481,0.0
2482,0.0
2483,0.0
2484,0.0
2485,0.0
2486,0.0
2488,0.0
2489,0.0
2491,0.0
2492,0.0
2493,0.0
2495,0.0
2496,0.0
2497,12800000.0
2498,0.0
2501,0.0
2504,0.0
2505,0.0
2506,86499581.0
2509,0.0
2511,0.0
2514,0.0
2515,0.0
2516,0.0
2520,0.0
2524,0.0
2527,0.0
2528,0.0
2530,0.0
2534,0.0
2535,0.0
2536,0.0
2537,0.0
2538,0.0
2539,0.0
2540,0.0
2542,0.0
2543,0.0
2545,0.0
2546,0.0
2547,0.0
2548,0.0
2597,0.0
2601,0.0
2603,0.0
2605,0.0
2606,0.0
2607,0.0
2608,0.0
2609,0.0
2610,0.0
2611,0.0
2612,0.0
2613,0.0
2614,0.0
2615,0.0
2616,0.0
2617,0.0
2618,0.0
2630,0.0
2633,3000000000.0
2634,0.0
2636,0.0
2637,0.0
2642,0.0
2645,0.0
2646,0.0
2701,0.0
2702,0.0
2704,0.0
2705,4776200.0
2706,0.0
2707,0.0
2712,0.0
2722,0.0
2723,0.0
2727,0.0
2731,0.0
2739,0.0
2748,0.0
2753,0.0
2762,0.0
2801,0.0
2812,0.0
2816,0.0
2820,0.0
2832,0.0
2834,0.0
2836,0.0
2838,0.0
2845,0.0
2849,1063113402.0
2850,0.0
2851,0.0
2852,0.0
2855,0.0
2867,0.0
2880,0.0
2881,0.0
2882,0.0
2883,0.0
2884,0.0
2885,0.0
2886,0.0
2887,0.0
2889,0.0
2890,0.0
2891,0.0
2892,0.0
2897,0.0
2901,0.0
2903,0.0
2904,0.0
2905,0.0
2906,0.0
2908,0.0
2910,0.0
2911,5400000.0
2912,0.0
2913,83250000.0
2915,0.0
2923,0.0
2929,0.0
2939,0.0
2945,0.0
3002,0.0
3003,0.0
3004,0.0
3005,0.0
3006,0.0
3008,0.0
3010,0.0
3011,12427600.0
3013,0.0
3014,0.0
3015,0.0
3016,0.0
3017,0.0
3018,43295564.0
3019,0.0
3021,0.0
3022,0.0
3023,0.0
3024,0.0
3025,0.0
3026,0.0
3027,15000000.0
3028,0.0
3029,12000000.0
3030,0.0
3031,0.0
3032,10000000.0
3033,0.0
3034,0.0
3035,0.0
3036,0.0
3037,0.0
3038,0.0
3040,0.0
3041,23150000.0
3042,25000000.0
3043,0.0
3044,0.0
3045,0.0
3046,0.0
3047,0.0
3048,25000000.0
3049,0.0
3050,0.0
3051,30363958.0
3052,0.0
3054,0.0
3055,16300000.0
3056,0.0
3057,13032513.0
3058,7786428.0
3059,0.0
3060,0.0
3062,0.0
3090,0.0
3092,0.0
3094,0.0
3130,0.0
3135,0.0
3138,0.0
3149,12101226.0
3150,0.0
3164,0.0
3167,0.0
3168,0.0
3189,0.0
3209,0.0
3229,43350507.0
3231,0.0
3257,0.0
3266,0.0
3296,0.0
3305,0.0
3308,0.0
3311,0.0
3312,0.0
3321,0.0
3338,0.0
3346,0.0
3356,0.0
3376,0.0
3380,0.0
3406,0.0
3413,0.0
3416,0.0
3419,0.0
3432,6230000.0
3437,0.0
3443,0.0
3447,0.0
3450,0.0
3481,0.0
3494,40800000.0
3501,0.0
3504,0.0
3515,0.0
3518,8900000.0
3528,0.0
3530,0.0
3532,0.0
3533,0.0
3535,0.0
3543,0.0
3545,0.0
3550,0.0
3557,12316671.0
3563,14759800.0
3576,258633452.0
3583,0.0
3588,0.0
3591,0.0
3592,0.0
3593,23000000.0
3596,0.0
3605,0.0
3607,0.0
3617,0.0
3622,0.0
3645,0.0
3652,0.0
3653,0.0
3661,2204537.0
3665,0.0
3669,0.0
3673,0.0
3679,0.0
3686,0.0
3694,0.0
3701,21000000.0
3702,0.0
3703,0.0
3704,0.0
3705,0.0
3706,0.0
3708,0.0
3711,0.0
3712,0.0
3714,70000000.0
3715,0.0
3716,0.0
3717,0.0
4104,0.0
4106,0.0
4108,12861429.0
4119,0.0
4133,0.0
4137,0.0
4142,0.0
4148,0.0
4155,0.0
4164,4722000.0
4169,0.0
4190,0.0
4306,0.0
4414,50156488.0
4426,0.0
4438,0.0
4439,0.0
4440,0.0
4441,0.0
4526,0.0
4532,0.0
4536,0.0
4540,0.0
4545,0.0
4551,0.0
4552,0.0
4555,0.0
4557,0.0
4560,0.0
4562,0.0
4564,0.0
4566,0.0
4569,0.0
4571,0.0
4572,0.0
4576,0.0
4581,0.0
4583,0.0
4585,0.0
4588,0.0
4590,0.0
4720,0.0
4722,0.0
4736,0.0
4737,0.0
4739,3150000.0
4746,0.0
4755,0.0
4763,0.0
4764,0.0
4766,0.0
4770,0.0
4771,0.0
4807,0.0
4904,93440600.0
4906,0.0
4912,0.0
4915,0.0
4916,0.0
4919,0.0
4927,0.0
4930,0.0
4934,14023475.0
4935,0.0
4938,0.0
4942,0.0
4943,47655676.0
4949,0.0
4952,0.0
4956,0.0
4958,0.0
4960,0.0
4961,0.0
4967,0.0
4968,0.0
4976,0.0
4977,0.0
4989,0.0
4994,0.0
4999,0.0
5007,0.0
5203,0.0
5215,0.0
5222,0.0
5225,0.0
5234,0.0
5243,0.0
5244,0.0
5258,0.0
5269,0.0
5283,0.0
5284,0.0
5285,0.0
5288,0.0
5292,0.0
5306,0.0
5388,0.0
5434,0.0
5469,0.0
5471,0.0
5484,0.0
5515,0.0
5519,0.0
5521,0.0
5522,0.0
5525,0.0
5531,0.0
5533,0.0
5534,0.0
5538,0.0
5546,0.0
5607,0.0
5608,0.0
5706,0.0
5871,0.0
5876,0.0
5880,0.0
5906,0.0
5907,0.0
6005,0.0
6024,0.0
6108,0.0
6112,66000000.0
6115,0.0
6116,0.0
6117,0.0
6120,0.0
6128,0.0
6133,0.0
6136,0.0
6139,0.0
6141,0.0
6142,101100000.0
6152,0.0
6153,88826433.0
6155,0.0
6164,0.0
6165,0.0
6166,14707559.0
6168,0.0
6176,0.0
6177,0.0
6183,0.0
6184,0.0
6189,0.0
6191,0.0
6192,0.0
6196,0.0
6197,0.0
6201,0.0
6202,4220000.0
6205,0.0
6206,0.0
6209,0.0
6213,0.0
6214,0.0
6215,0.0
6216,0.0
6224,0.0
6225,20825395.0
6226,0.0
6230,0.0
6235,0.0
6239,0.0
6243,8000000.0
6257,0.0
6269,0.0
6271,0.0
6272,0.0
6277,0.0
6278,0.0
6281,0.0
6282,0.0
6283,66453000.0
6285,0.0
6405,0.0
6409,0.0
6412,0.0
6414,0.0
6415,0.0
6416,0.0
6426,0.0
6431,46956000.0
6438,0.0
6442,0.0
6443,0.0
6446,0.0
6449,0.0
6451,0.0
6456,0.0
6464,0.0
6472,0.0
6477,0.0
6491,0.0
6504,0.0
6505,0.0
6515,0.0
6525,0.0
6526,0.0
6531,0.0
6533,0.0
6534,0.0
6541,0.0
6550,396484666.0
6552,0.0
6558,7300000.0
6573,0.0
6579,0.0
6581,0.0
6582,0.0
6585,0.0
6589,55000000.0
6591,0.0
6592,0.0
6598,0.0
6605,0.0
6606,0.0
6614,0.0
6625,0.0
6641,0.0
6645,0.0
6655,0.0
6657,0.0
6658,0.0
6666,0.0
6668,27285000.0
6669,0.0
6670,0.0
6671,0.0
6672,0.0
6674,0.0
6689,0.0
6691,0.0
6695,10000000.0
6698,0.0
6706,0.0
6715,0.0
6719,21000000.0
6722,0.0
6742,0.0
6743,0.0
6753,0.0
6754,0.0
6756,0.0
6757,0.0
6768,0.0
6770,0.0
6771,0.0
6776,0.0
6781,0.0
6782,0.0
6789,0.0
6790,0.0
6792,0.0
6794,15200000.0
6796,0.0
6799,0.0
6805,0.0
6806,0.0
6807,0.0
6830,0.0
6831,0.0
6834,0.0
6835,0.0
6838,0.0
6854,0.0
6861,0.0
6862,0.0
6863,0.0
6869,0.0
6873,4284654.0
6885,0.0
6887,0.0
6890,0.0
6901,0.0
6902,0.0
6906,0.0
6908,0.0
6909,0.0
6914,0.0
6916,0.0
6918,0.0
6919,0.0
6921,0.0
6923,0.0
6924,0.0
6928,0.0
6931,0.0
6933,0.0
6934,0.0
6936,0.0
6937,0.0
6944,0.0
6949,0.0
6951,0.0
6952,0.0
6955,0.0
6957,0.0
6958,0.0
6962,0.0
6965,0.0
6969,0.0
6988,0.0
6994,0.0
7610,0.0
7631,0.0
7705,0.0
7711,0.0
7721,5000000.0
7722,0.0
7730,0.0
7732,0.0
7736,0.0
7740,0.0
7749,0.0
7750,0.0
7765,0.0
7769,0.0
7780,0.0
7786,0.0
7788,0.0
7791,0.0
7795,0.0
7799,0.0
7821,0.0
7822,0.0
7823,0.0
8011,0.0
8016,0.0
8021,0.0
8028,0.0
8033,7672502.0
8039,0.0
8045,0.0
8046,0.0
8070,0.0
8072,0.0
8081,0.0
8101,36378012.0
8103,0.0
8104,0.0
8105,152981757.0
8110,0.0
8112,0.0
8114,0.0
8131,0.0
8150,0.0
8162,0.0
8163,0.0
8201,0.0
8210,0.0
8213,0.0
8215,0.0
8222,0.0
8249,23475000.0
8261,35000000.0
8271,17041000.0
8341,0.0
8367,0.0
8374,23000000.0
8404,0.0
8411,0.0
8422,0.0
8429,0.0
8438,0.0
8442,0.0
8443,0.0
8454,0.0
8462,0.0
8463,0.0
8464,0.0
8466,0.0
8467,0.0
8473,10676119.0
8476,0.0
8478,0.0
8481,0.0
8482,0.0
8487,0.0
8488,0.0
8499,0.0
8926,0.0
8940,0.0
8996,0.0
9103,0.0
910322,0.0
9105,0.0
910861,0.0
9110,0.0
911608,0.0
911622,0.0
911868,0.0
912000,0.0
9136,0.0
9802,0.0
9902,0.0
9904,0.0
9905,0.0
9906,0.0
9907,0.0
9908,0.0
9910,0.0
9911,0.0
9912,0.0
9914,0.0
9917,0.0
9918,0.0
9919,0.0
9921,0.0
9924,0.0
9925,0.0
9926,0.0
9927,0.0
9928,8800240.0
9929,43800000.0
9930,0.0
9931,0.0
9933,0.0
9934,0.0
9935,0.0
9937,0.0
9938,0.0
9939,0.0
9940,0.0
9941,0.0
9942,0.0
9943,0.0
9944,0.0
9945,0.0
9946,0.0
9955,0.0
9958,0.0
